id,lexeme,de,ru,source,license
abgeben:t2420160,abgeben,Möchten Sie eine Erklärung abgeben?,Вы хотите сделать заявление?,tatoeba,CC BY 2.0 FR
abgeben:t2420161,abgeben,Ich möchte eine Erklärung abgeben.,Я хочу сделать заявление.,tatoeba,CC BY 2.0 FR
abholen:t13710947,abholen,Ich werde die Kinder abholen.,Я пойду за детьми.,tatoeba,CC BY 2.0 FR
abholen:t13710949,abholen,Ich gehe die Kinder abholen.,Я пойду за детьми.,tatoeba,CC BY 2.0 FR
abholen:t2601707,abholen,Wann soll ich dich abholen?,Во сколько мне тебя забрать?,tatoeba,CC BY 2.0 FR
achtung:t541952,achtung,Achtung vor dem Hund!,Берегись собаки!,tatoeba,CC BY 2.0 FR
achtung:t601775,achtung,"Achtung, da kommt ein Auto!","Осторожно, там машина!",tatoeba,CC BY 2.0 FR
achtung:t7480009,achtung,Achtung! Die Türen schließen!,"Осторожно, двери закрываются!",tatoeba,CC BY 2.0 FR
adresse:t10874233,adresse,Wessen Adresse ist das?,Чей это адрес?,tatoeba,CC BY 2.0 FR
adresse:t3103888,adresse,Hier ist die Adresse.,Вот адрес.,tatoeba,CC BY 2.0 FR
adresse:t7463829,adresse,Ich habe die Adresse falsch geschrieben.,Я неправильно написала адрес.,tatoeba,CC BY 2.0 FR
allein:t10125006,allein,Ich lebe nicht allein.,Я живу не один.,tatoeba,CC BY 2.0 FR
allein:t10246442,allein,Ich bin so allein.,Я так одинок.,tatoeba,CC BY 2.0 FR
allein:t10458648,allein,Ich möchte allein leben.,Я хотела бы жить одна.,tatoeba,CC BY 2.0 FR
allein-adv:t10125006,allein-adv,Ich lebe nicht allein.,Я живу не один.,tatoeba,CC BY 2.0 FR
allein-adv:t10246442,allein-adv,Ich bin so allein.,Я так одинок.,tatoeba,CC BY 2.0 FR
allein-adv:t10458648,allein-adv,Ich möchte allein leben.,Я хотела бы жить одна.,tatoeba,CC BY 2.0 FR
allein-conj:t10125006,allein-conj,Ich lebe nicht allein.,Я живу не один.,tatoeba,CC BY 2.0 FR
allein-conj:t10246442,allein-conj,Ich bin so allein.,Я так одинок.,tatoeba,CC BY 2.0 FR
allein-conj:t10458648,allein-conj,Ich möchte allein leben.,Я хотела бы жить одна.,tatoeba,CC BY 2.0 FR
also:t12670020,also,Also machen wir weiter.,"Итак, мы продолжаем.",tatoeba,CC BY 2.0 FR
also:t12670021,also,"Also, machen wir weiter.","Что ж, продолжим.",tatoeba,CC BY 2.0 FR
also:t10477432,also,"Ich will, also kann ich!",Хочу - значит могу!,tatoeba,CC BY 2.0 FR
also-adv:t12670020,also-adv,Also machen wir weiter.,"Итак, мы продолжаем.",tatoeba,CC BY 2.0 FR
also-adv:t12670021,also-adv,"Also, machen wir weiter.","Что ж, продолжим.",tatoeba,CC BY 2.0 FR
also-adv:t10477432,also-adv,"Ich will, also kann ich!",Хочу - значит могу!,tatoeba,CC BY 2.0 FR
alt:t10116792,alt,Wie alt war sie?,Сколько ей было?,tatoeba,CC BY 2.0 FR
alt:t1037330,alt,Wie alt er ist!,Какой он старый!,tatoeba,CC BY 2.0 FR
alt:t1169,alt,Wie alt sind Sie?,Сколько Вам лет?,tatoeba,CC BY 2.0 FR
alter:t1306714,alter,Ich bin ein alter Mann.,Я старый человек.,tatoeba,CC BY 2.0 FR
alter:t5296881,alter,Ich bin eine alte Frau.,Я пожилая женщина.,tatoeba,CC BY 2.0 FR
alter:t1284425,alter,Er sieht alt aus für sein Alter.,Он выглядит старым для своего возраста.,tatoeba,CC BY 2.0 FR
an:t1935366,an,Sieh sie nicht an!,Не смотри на неё!,tatoeba,CC BY 2.0 FR
an:t2668014,an,Sie sieht Sie an.,Она смотрит на вас.,tatoeba,CC BY 2.0 FR
an:t1935367,an,Sehen Sie sie nicht an!,Не смотрите на неё!,tatoeba,CC BY 2.0 FR
an-adj:t1935366,an-adj,Sieh sie nicht an!,Не смотри на неё!,tatoeba,CC BY 2.0 FR
an-adj:t2668014,an-adj,Sie sieht Sie an.,Она смотрит на вас.,tatoeba,CC BY 2.0 FR
an-adj:t1935367,an-adj,Sehen Sie sie nicht an!,Не смотрите на неё!,tatoeba,CC BY 2.0 FR
an-adv:t1935366,an-adv,Sieh sie nicht an!,Не смотри на неё!,tatoeba,CC BY 2.0 FR
an-adv:t2668014,an-adv,Sie sieht Sie an.,Она смотрит на вас.,tatoeba,CC BY 2.0 FR
an-adv:t1935367,an-adv,Sehen Sie sie nicht an!,Не смотрите на неё!,tatoeba,CC BY 2.0 FR
anbieten:t9398816,anbieten,Können Sie eine Lösung anbieten?,Вы можете предложить какое-то решение?,tatoeba,CC BY 2.0 FR
anbieten:t1976920,anbieten,Ich möchte dir Arbeit anbieten.,Я хочу предложить тебе работу.,tatoeba,CC BY 2.0 FR
anbieten:t13672430,anbieten,Aber ich habe es dir angeboten!,А я тебе предлагал!,tatoeba,CC BY 2.0 FR
ander:t13200441,ander,Wie geht es den anderen?,Как дела у остальных?,tatoeba,CC BY 2.0 FR
ander:t12267692,ander,Sie sagt das eine und macht das andere.,"Она говорит одно, а делает другое.",tatoeba,CC BY 2.0 FR
ander:t12267699,ander,Er sagt das eine und macht das andere.,"Он говорит одно, а делает другое.",tatoeba,CC BY 2.0 FR
anfang:t1948702,anfang,Das ist ein guter Anfang.,Это хорошее начало.,tatoeba,CC BY 2.0 FR
anfang:t2106576,anfang,Das ist nur ein Anfang.,Это только начало.,tatoeba,CC BY 2.0 FR
anfang:t3400303,anfang,Das ist nur der Anfang.,Это лишь начало.,tatoeba,CC BY 2.0 FR
anfangen:t12003322,anfangen,Ich muss neu anfangen.,Мне надо начать сначала.,tatoeba,CC BY 2.0 FR
anfangen:t13311906,anfangen,Wir müssen schon anfangen.,Нам уже надо начинать.,tatoeba,CC BY 2.0 FR
anfangen:t13622671,anfangen,Sie können schon anfangen.,Можете уже начинать.,tatoeba,CC BY 2.0 FR
angebot:t2510431,angebot,Ich nehme das Angebot an.,Я принимаю предложение.,tatoeba,CC BY 2.0 FR
angebot:t11327350,angebot,Er nahm das Angebot dankend an.,Он с благодарностью принял предложение.,tatoeba,CC BY 2.0 FR
angebot:t355170,angebot,Er nahm unser Angebot dankend an.,Он с благодарностью принял наше предложение.,tatoeba,CC BY 2.0 FR
anklicken:t6794248,anklicken,Das Foto vom gefrorenen Hasen wurde aus unerfindlichen Gründen millionenfach angeklickt.,По неясной причине на ту фотографию с замёрзшим зайцем кликали миллионы раз.,tatoeba,CC BY 2.0 FR
ankommen:t10659367,ankommen,Die sind schon angekommen.,Они уже приехали.,tatoeba,CC BY 2.0 FR
ankommen:t13762113,ankommen,Wir sind schon angekommen.,Мы уже пришли.,tatoeba,CC BY 2.0 FR
ankommen:t13762114,ankommen,Sie sind schon angekommen.,Они уже пришли.,tatoeba,CC BY 2.0 FR
ankunft:t13425131,ankunft,Ich bleibe bis zu ihrer Ankunft.,Я останусь до её приезда.,tatoeba,CC BY 2.0 FR
ankunft:t13425125,ankunft,Ich werde bis zu ihrer Ankunft bleiben.,Я останусь до её приезда.,tatoeba,CC BY 2.0 FR
ankunft:t13650550,ankunft,Er wird bis zu meiner Ankunft bleiben.,Он останется до моего приезда.,tatoeba,CC BY 2.0 FR
anmachen:t8077363,anmachen,Soll ich das Licht anmachen?,"Хотите, чтобы я включил свет?",tatoeba,CC BY 2.0 FR
anmachen:t6910415,anmachen,Könnten Sie bitte das Licht anmachen?,Не могли бы Вы включить свет?,tatoeba,CC BY 2.0 FR
anmachen:t3427893,anmachen,"Hör auf, mich anzumachen!",Прекрати со мной флиртовать!,tatoeba,CC BY 2.0 FR
anmeldung:t13925449,anmeldung,Holen Sie sich einen Stempel an der Anmeldung.,Поставьте печать в регистратуре.,tatoeba,CC BY 2.0 FR
anrede:t12226877,anrede,Kann ich dich mit Vornamen anreden?,Можно мне обращаться к тебе просто по имени?,tatoeba,CC BY 2.0 FR
anrede:t12226878,anrede,Darf ich dich mit Vornamen anreden?,Можно мне обращаться к тебе просто по имени?,tatoeba,CC BY 2.0 FR
anrede:t10656874,anrede,Wie sollte man einen Nichtbinären anreden?,Как обращаться к небинарной личности?,tatoeba,CC BY 2.0 FR
anruf:t12159925,anruf,Soll ich sie anrufen?,"Хотите, я ей позвоню?",tatoeba,CC BY 2.0 FR
anruf:t12221258,anruf,Ich muss Kunden anrufen.,Мне надо позвонить клиентам.,tatoeba,CC BY 2.0 FR
anruf:t12339975,anruf,Ich werde sie anrufen.,Я ей позвоню.,tatoeba,CC BY 2.0 FR
anrufen:t12159925,anrufen,Soll ich sie anrufen?,"Хотите, я ей позвоню?",tatoeba,CC BY 2.0 FR
anrufen:t12221258,anrufen,Ich muss Kunden anrufen.,Мне надо позвонить клиентам.,tatoeba,CC BY 2.0 FR
anrufen:t12339975,anrufen,Ich werde sie anrufen.,Я ей позвоню.,tatoeba,CC BY 2.0 FR
ansage:t7446175,ansage,Der Brückeneinsturz kam mit Ansage.,Обрушение моста не было неожиданным.,tatoeba,CC BY 2.0 FR
antwort:t1104165,antwort,Die Antwort war leicht.,Ответ был лёгкий.,tatoeba,CC BY 2.0 FR
antwort:t1246622,antwort,Die Antwort ist richtig.,Ответ правильный.,tatoeba,CC BY 2.0 FR
antwort:t12822733,antwort,Er bekam keine Antwort.,Он не получил ответа.,tatoeba,CC BY 2.0 FR
antworten:t10350213,antworten,Ich habe nicht geantwortet.,Я не ответил.,tatoeba,CC BY 2.0 FR
antworten:t1104165,antworten,Die Antwort war leicht.,Ответ был лёгкий.,tatoeba,CC BY 2.0 FR
antworten:t11965135,antworten,Was antwortete der Junge?,Что ответил мальчик?,tatoeba,CC BY 2.0 FR
anzeige:t13646015,anzeige,Hast du die Anzeige gelesen?,Ты прочёл объявление?,tatoeba,CC BY 2.0 FR
anzeige:t2495930,anzeige,Die Anzeigen sind der wahrhaftigste Teil einer Zeitung.,Объявления — самая правдивая часть газеты.,tatoeba,CC BY 2.0 FR
anzeige:t2475015,anzeige,"Bitte unterlassen Sie das Rauchen, solange diese Anzeige leuchtet.","Пожалуйста, воздержитесь от курения, пока это объявление не погаснет.",tatoeba,CC BY 2.0 FR
apartment:t5840974,apartment,Wir warten auf dich in Brendas Apartment.,Мы ждём тебя в квартире Бренды.,tatoeba,CC BY 2.0 FR
apartment:t7361527,apartment,Jedes Apartment ist mit einer eigenen Freitreppe erreichbar.,В каждую квартиру можно попасть по отдельной лестнице.,tatoeba,CC BY 2.0 FR
apfel:t10253251,apfel,Ist das ein Apfel?,Это яблоко?,tatoeba,CC BY 2.0 FR
apfel:t1063532,apfel,Wo sind die Äpfel?,Где яблоки?,tatoeba,CC BY 2.0 FR
apfel:t12072290,apfel,Die mögen keine Äpfel.,Они не любят яблоки.,tatoeba,CC BY 2.0 FR
appetit:t1010124,appetit,Ich hatte großen Appetit.,У меня был зверский аппетит.,tatoeba,CC BY 2.0 FR
appetit:t13631673,appetit,Ich habe Appetit bekommen.,У меня разыгрался аппетит.,tatoeba,CC BY 2.0 FR
appetit:t3400118,appetit,Essen Sie mit Appetit!,Ешьте с аппетитом.,tatoeba,CC BY 2.0 FR
arbeit:t11296430,arbeit,Keine Arbeit ist einfach.,Лёгкой работы не бывает.,tatoeba,CC BY 2.0 FR
arbeit:t12407478,arbeit,Arbeiten Sie dort noch?,Вы до сих пор там работаете?,tatoeba,CC BY 2.0 FR
arbeit:t13421088,arbeit,Sie will nicht arbeiten.,Она не хочет работать.,tatoeba,CC BY 2.0 FR
arbeiten:t11296430,arbeiten,Keine Arbeit ist einfach.,Лёгкой работы не бывает.,tatoeba,CC BY 2.0 FR
arbeiten:t12407478,arbeiten,Arbeiten Sie dort noch?,Вы до сих пор там работаете?,tatoeba,CC BY 2.0 FR
arbeiten:t13421088,arbeiten,Sie will nicht arbeiten.,Она не хочет работать.,tatoeba,CC BY 2.0 FR
arbeitslos:t1371903,arbeitslos,Ich bin auch arbeitslos.,Я тоже безработный.,tatoeba,CC BY 2.0 FR
arbeitslos:t5680833,arbeitslos,Ich bin nicht arbeitslos,Я не безработный.,tatoeba,CC BY 2.0 FR
arbeitslos:t4822197,arbeitslos,Ich bin immer noch arbeitslos.,Я по-прежнему безработный.,tatoeba,CC BY 2.0 FR
arbeitsplatz:t13668832,arbeitsplatz,Er ist an den Arbeitsplatz zurückgekehrt.,Он вернулся на рабочее место.,tatoeba,CC BY 2.0 FR
arbeitsplatz:t13813367,arbeitsplatz,Warum waren Sie nicht am Arbeitsplatz?,Почему Вас не было на рабочем месте?,tatoeba,CC BY 2.0 FR
arbeitsplatz:t13813365,arbeitsplatz,Warum waren Sie nicht an Ihrem Arbeitsplatz?,Почему Вас не было на рабочем месте?,tatoeba,CC BY 2.0 FR
arm:t13548274,arm,Arm sein ist teuer.,Быть бедным дорого.,tatoeba,CC BY 2.0 FR
arm:t2260946,arm,Sie hilft den Armen.,Она помогает бедным.,tatoeba,CC BY 2.0 FR
arm:t2730852,arm,Ich bin nicht arm.,Я не беден.,tatoeba,CC BY 2.0 FR
arzt:t10060344,arzt,Ich wollte Arzt werden.,Я хотел стать врачом.,tatoeba,CC BY 2.0 FR
arzt:t1070206,arzt,Ich will Arzt werden.,Я хочу стать врачом.,tatoeba,CC BY 2.0 FR
arzt:t1195798,arzt,Ich bin kein Arzt.,Я не доктор.,tatoeba,CC BY 2.0 FR
auch:t2980725,auch,Er hat auch einen.,У него тоже такой есть.,tatoeba,CC BY 2.0 FR
auch:t2980726,auch,Er hat auch eine.,У него тоже такая есть.,tatoeba,CC BY 2.0 FR
auch:t916845,auch,Er kommt auch nicht.,Он тоже не придёт.,tatoeba,CC BY 2.0 FR
auf:t8456921,auf,Wir haben noch nicht auf.,Мы ещё не открылись.,tatoeba,CC BY 2.0 FR
auf:t2478957,auf,Er stand auf und ging.,Он встал и вышел.,tatoeba,CC BY 2.0 FR
auf:t519199,auf,Ich stehe um 7 Uhr auf.,Я встаю в семь часов.,tatoeba,CC BY 2.0 FR
auf-adj:t8456921,auf-adj,Wir haben noch nicht auf.,Мы ещё не открылись.,tatoeba,CC BY 2.0 FR
auf-adj:t2478957,auf-adj,Er stand auf und ging.,Он встал и вышел.,tatoeba,CC BY 2.0 FR
auf-adj:t519199,auf-adj,Ich stehe um 7 Uhr auf.,Я встаю в семь часов.,tatoeba,CC BY 2.0 FR
auf-adv:t8456921,auf-adv,Wir haben noch nicht auf.,Мы ещё не открылись.,tatoeba,CC BY 2.0 FR
auf-adv:t2478957,auf-adv,Er stand auf und ging.,Он встал и вышел.,tatoeba,CC BY 2.0 FR
auf-adv:t519199,auf-adv,Ich stehe um 7 Uhr auf.,Я встаю в семь часов.,tatoeba,CC BY 2.0 FR
aufgabe:t5319050,aufgabe,Die Aufgabe war leicht.,Задание было лёгким.,tatoeba,CC BY 2.0 FR
aufgabe:t9942384,aufgabe,Die Aufgabe ist einfach.,Задача проста.,tatoeba,CC BY 2.0 FR
aufgabe:t2902038,aufgabe,Das ist Aufgabe der Polizei.,Это обязанность полиции.,tatoeba,CC BY 2.0 FR
aufhoeren:t11837202,aufhoeren,Wann hat es aufgehört?,Когда это закончилось?,tatoeba,CC BY 2.0 FR
aufhoeren:t1206734,aufhoeren,Hat der Regen aufgehört?,Дождь перестал?,tatoeba,CC BY 2.0 FR
aufhoeren:t2869869,aufhoeren,Sie wollen nicht aufhören.,Они не хотят останавливаться.,tatoeba,CC BY 2.0 FR
aufstehen:t1107725,aufstehen,Sind Sie spät aufgestanden?,Вы поздно встали?,tatoeba,CC BY 2.0 FR
aufstehen:t3799501,aufstehen,Er will nicht aufstehen.,Он не хочет вставать.,tatoeba,CC BY 2.0 FR
aufstehen:t3926899,aufstehen,Ich will nicht aufstehen.,Я не хочу вставать.,tatoeba,CC BY 2.0 FR
aufzug:t13941257,aufzug,Nehmen wir den Aufzug!,Давай поедем на лифте.,tatoeba,CC BY 2.0 FR
aufzug:t363317,aufzug,Wo ist der Aufzug?,Где лифт?,tatoeba,CC BY 2.0 FR
aufzug:t3766448,aufzug,Es gibt keinen Aufzug.,Лифта нет.,tatoeba,CC BY 2.0 FR
auge:t1135595,auge,Schöne Augen hat er.,У него красивые глаза.,tatoeba,CC BY 2.0 FR
auge:t12003902,auge,Sie hatte große Augen.,У неё были большие глаза.,tatoeba,CC BY 2.0 FR
auge:t13606669,auge,Ich schließe die Augen.,Я закрываю глаза.,tatoeba,CC BY 2.0 FR
aus:t7560453,aus,Mach sie noch nicht aus.,Не выключай пока.,tatoeba,CC BY 2.0 FR
aus:t2263443,aus,Wie sah sie aus?,Как она выглядела?,tatoeba,CC BY 2.0 FR
aus:t2509939,aus,Wie sieht er aus?,Как он выглядит?,tatoeba,CC BY 2.0 FR
aus-adj:t7560453,aus-adj,Mach sie noch nicht aus.,Не выключай пока.,tatoeba,CC BY 2.0 FR
aus-adj:t2263443,aus-adj,Wie sah sie aus?,Как она выглядела?,tatoeba,CC BY 2.0 FR
aus-adj:t2509939,aus-adj,Wie sieht er aus?,Как он выглядит?,tatoeba,CC BY 2.0 FR
aus-prep:t7560453,aus-prep,Mach sie noch nicht aus.,Не выключай пока.,tatoeba,CC BY 2.0 FR
aus-prep:t2263443,aus-prep,Wie sah sie aus?,Как она выглядела?,tatoeba,CC BY 2.0 FR
aus-prep:t2509939,aus-prep,Wie sieht er aus?,Как он выглядит?,tatoeba,CC BY 2.0 FR
ausflug:t9513904,ausflug,Wir reden über den Ausflug.,Мы говорим об экскурсии.,tatoeba,CC BY 2.0 FR
ausflug:t2289400,ausflug,Der Ausflug hat uns sehr gut gefallen.,Экскурсия нам очень понравилась.,tatoeba,CC BY 2.0 FR
ausflug:t2687028,ausflug,Die Ausflüge zu den Inseln sind nicht billig.,Поездки на острова стоят недёшево.,tatoeba,CC BY 2.0 FR
ausfuellen:t13656428,ausfuellen,Hat sie schon das Formular ausgefüllt?,Она уже заполнила бланк?,tatoeba,CC BY 2.0 FR
ausfuellen:t11527464,ausfuellen,Ich habe das Formular sorgsam ausgefüllt.,Я тщательно заполнил формуляр.,tatoeba,CC BY 2.0 FR
ausfuellen:t345353,ausfuellen,Muss ich dieses Formular jetzt ausfüllen?,Мне нужно заполнить эту форму сейчас?,tatoeba,CC BY 2.0 FR
ausgang:t11481614,ausgang,Hier ist der Ausgang!,Выход здесь!,tatoeba,CC BY 2.0 FR
ausgang:t8320733,ausgang,Ich suche den Ausgang.,Я ищу выход.,tatoeba,CC BY 2.0 FR
ausgang:t8877915,ausgang,Gibt es noch einen Ausgang?,Есть другой выход?,tatoeba,CC BY 2.0 FR
auskunft:t1102236,auskunft,Ich hätte gerne eine Auskunft.,Я бы хотел получить справку.,tatoeba,CC BY 2.0 FR
auslaender:t782050,auslaender,Ich bin ein Ausländer.,Я иностранец.,tatoeba,CC BY 2.0 FR
auslaender:t8302349,auslaender,Ich bin kein Ausländer.,Я не иностранец.,tatoeba,CC BY 2.0 FR
auslaender:t341581,auslaender,Sie ist mit einem Ausländer verheiratet.,Она замужем за иностранцем.,tatoeba,CC BY 2.0 FR
auslaendisch:t362648,auslaendisch,Er hat ein ausländisches Auto.,У него иномарка.,tatoeba,CC BY 2.0 FR
auslaendisch:t6573968,auslaendisch,Er hat einen ausländischen Namen.,У него иностранное имя.,tatoeba,CC BY 2.0 FR
auslaendisch:t12591917,auslaendisch,"Das ist das Kino, wo wir ausländische Filme sahen.","Это кинотеатр, где мы смотрели иностранные фильмы.",tatoeba,CC BY 2.0 FR
ausland:t10101402,ausland,Er war im Ausland.,Он был за границей.,tatoeba,CC BY 2.0 FR
ausland:t12094663,ausland,Waren Sie im Ausland?,Вы были за границей?,tatoeba,CC BY 2.0 FR
ausland:t5358038,ausland,Wir gehen ins Ausland.,Мы едем за границу.,tatoeba,CC BY 2.0 FR
ausmachen:t11966663,ausmachen,Soll ich das Licht ausmachen?,"Хотите, я свет выключу?",tatoeba,CC BY 2.0 FR
ausmachen:t13972960,ausmachen,Ich habe das Licht ausgemacht.,Я выключил свет.,tatoeba,CC BY 2.0 FR
ausmachen:t1500183,ausmachen,Wer hat das Licht ausgemacht?,Кто свет выключил?,tatoeba,CC BY 2.0 FR
aussage:t13745345,aussage,Beide Aussagen könnten stimmen.,Оба утверждения могут быть верными.,tatoeba,CC BY 2.0 FR
aussage:t2784871,aussage,Die Polizei zweifelt an seiner Aussage.,Полиция сомневается в его показаниях.,tatoeba,CC BY 2.0 FR
aussage:t3253533,aussage,Nach den Aussagen von Einheimischen ist dort alles ruhig.,"По словам местных жителей, там всё спокойно.",tatoeba,CC BY 2.0 FR
aussehen:t12860358,aussehen,Ich will nicht jünger aussehen.,Я не хочу выглядеть моложе.,tatoeba,CC BY 2.0 FR
aussehen:t8883092,aussehen,"Ich weiß, wie sie aussehen.","Я знаю, как они выглядят.",tatoeba,CC BY 2.0 FR
aussehen:t12406572,aussehen,"Ich bin nicht so jung, wie ich aussehe.","Я не так молод, как выгляжу.",tatoeba,CC BY 2.0 FR
aussteigen:t13222937,aussteigen,Wann muss ich aussteigen?,Когда мне выходить?,tatoeba,CC BY 2.0 FR
aussteigen:t6326868,aussteigen,Sie müssen hier aussteigen.,Вам здесь выходить.,tatoeba,CC BY 2.0 FR
aussteigen:t6640986,aussteigen,Wo muss ich aussteigen?,Где мне выходить?,tatoeba,CC BY 2.0 FR
ausweis:t13621982,ausweis,Und haben Sie einen Ausweis?,А удостоверение у Вас есть?,tatoeba,CC BY 2.0 FR
ausweis:t8320742,ausweis,Er sucht seinen Ausweis.,Он ищет своё удостоверение.,tatoeba,CC BY 2.0 FR
ausweis:t5229137,ausweis,Gestern verlor Maria ihren Ausweis.,Вчера Мэри потеряла свой паспорт.,tatoeba,CC BY 2.0 FR
auto:t12928317,auto,Er mag Autos sehr.,Он очень любит машины.,tatoeba,CC BY 2.0 FR
auto:t13081976,auto,Es ist das Auto.,Это та машина.,tatoeba,CC BY 2.0 FR
auto:t13681477,auto,Sie braucht kein Auto.,Ей не нужна машина.,tatoeba,CC BY 2.0 FR
autobahn:t12125057,autobahn,In Frankreich gibt es sehr gute Autobahnen.,Во Франции очень хорошие автодороги.,tatoeba,CC BY 2.0 FR
autobahn:t10101530,autobahn,Der Unfall geschah auf der Autobahn.,Авария произошла на автомагистрали.,tatoeba,CC BY 2.0 FR
autobahn:t450655,autobahn,Die Autobahn war aufgrund eines schweren Unfalls gesperrt.,Автострада была перекрыта из-за серьезной аварии.,tatoeba,CC BY 2.0 FR
automat:t13981316,automat,Ich trinke keinen Kaffee aus dem Automaten.,Я не пью кофе из автомата.,tatoeba,CC BY 2.0 FR
automat:t3571648,automat,"Das ist der Automat, von dem ich sprach.","Это тот автомат, о котором я говорил.",tatoeba,CC BY 2.0 FR
automat:t2157143,automat,In Berlin kann man Bücher an Automaten kaufen.,В Берлине можно купить книги в автоматах.,tatoeba,CC BY 2.0 FR
automatisch:t363282,automatisch,Die Tür schließt automatisch.,Дверь закрывается автоматически.,tatoeba,CC BY 2.0 FR
automatisch:t2436338,automatisch,Ich tat alles automatisch.,Я делала всё на автомате.,tatoeba,CC BY 2.0 FR
automatisch:t5384059,automatisch,Die Türen schließen automatisch.,Двери закрываются автоматически.,tatoeba,CC BY 2.0 FR
baby:t2457551,baby,Wessen Baby ist das?,Чей это ребёнок?,tatoeba,CC BY 2.0 FR
baby:t5256659,baby,Ich bin kein Baby.,Я не маленький ребёнок.,tatoeba,CC BY 2.0 FR
baby:t5305791,baby,Sie bekamen ein Baby.,У них родился ребёнок.,tatoeba,CC BY 2.0 FR
bad:t1863086,bad,Ich nehme ein Bad.,Я принимаю ванну.,tatoeba,CC BY 2.0 FR
bad:t1888538,bad,Ich nahm ein Bad.,Я принял ванну.,tatoeba,CC BY 2.0 FR
bad:t8320750,bad,Sie nimmt ein Bad.,Она моется.,tatoeba,CC BY 2.0 FR
baden:t1863086,baden,Ich nehme ein Bad.,Я принимаю ванну.,tatoeba,CC BY 2.0 FR
baden:t1888538,baden,Ich nahm ein Bad.,Я принял ванну.,tatoeba,CC BY 2.0 FR
baden:t8320750,baden,Sie nimmt ein Bad.,Она моется.,tatoeba,CC BY 2.0 FR
baeckerei:t1104473,baeckerei,Wo ist die Bäckerei?,Где находится булочная?,tatoeba,CC BY 2.0 FR
