id,lexeme,noun,article,translation,plural,example,example_ru
de:garten:_:genus,garten,Garten,der,сад,Gärten,Der Garten ist klein.,Сад маленький.
de:gast:_:genus,gast,Gast,der,гость,Gäste,Seien Sie mein Gast.,Будьте моим гостем.
de:geburtsjahr:_:genus,geburtsjahr,Geburtsjahr,das,год рождения,Geburtsjahre,Meine PIN ist mein Geburtsjahr.,Мой ПИН-код - мой год рождения.
de:geburtsort:_:genus,geburtsort,Geburtsort,der,место рождения,Geburtsorte,Der Geburtsort meiner Mutter befindet sich im Osten des Landes.,Место рождения моей матери находится на востоке страны.
de:geburtstag:_:genus,geburtstag,Geburtstag,der,день рождения,Geburtstage,Er hat bald Geburtstag.,У него скоро день рождения.
de:geld:_:genus,geld,Geld,das,деньги,Gelder,Sie haben nie Geld.,У вас никогда нет денег.
de:gemuese:_:genus,gemuese,Gemüse,das,овощ,Gemüse,Ich wusch das Gemüse.,Я помыл овощи.
de:gepaeck:_:genus,gepaeck,Gepäck,das,багаж,Gepäcke,Wo ist unser Gepäck?,Где наш багаж?
de:geschenk:_:genus,geschenk,Geschenk,das,подарок,Geschenke,Er öffnete das Geschenk.,Он открыл подарок.
de:geschwister:_:genus,geschwister,Geschwister,das,братья и сёстры,Geschwister,Er hat keine Geschwister.,"У него нет ни братьев, ни сестёр."
de:gespraech:_:genus,gespraech,Gespräch,das,разговор,Gespräche,Das Gespräch wird aufgezeichnet.,Разговор записывается.
de:getraenk:_:genus,getraenk,Getränk,das,напиток,Getränke,Wo ist dein Getränk?,Где твой напиток?
de:gewicht:_:genus,gewicht,Gewicht,das,вес,Gewichte,Das Eis wird dein Gewicht nicht tragen.,Лёд не выдержит твоего веса.
de:glas:_:genus,glas,Glas,das,стакан,Gläser,Ist das mein Glas?,Это мой стакан?
de:gleis:_:genus,gleis,Gleis,das,платформа,Gleise,Sie wartet am Gleis auf dich.,Она ждёт тебя на перроне.
de:glueck:_:genus,glueck,Glück,das,счастье,,Wir hatten kein Glück.,Нам не повезло.
de:glueckwunsch:_:genus,glueckwunsch,Glückwunsch,der,поздравление,Glückwünsche,Herzlichen Glückwunsch zum Geburtstag!,С днём рождения!
de:grad:_:genus,grad,Grad,der,градус,Grade,Das Wasser hat 38 Grad.,Температура воды — 38 градусов.
de:groesse:_:genus,groesse,Größe,die,размер,Größen,Welche Größe haben Sie?,Какой у Вас размер?
de:grossmutter:_:genus,grossmutter,Großmutter,die,бабушка,Großmütter,Sie besuchten die Großmutter.,Они навестили бабушку.
de:grossvater:_:genus,grossvater,Großvater,der,дедушка,Großväter,Wo ist dein Großvater?,Где твой дедушка?
de:gruppe:_:genus,gruppe,Gruppe,die,группа,Gruppen,Das ist meine Gruppe.,Это моя группа.
de:haar:_:genus,haar,Haar,das,волос,Haare,Mein Haar ist lang.,У меня длинные волосы.
de:haltestelle:_:genus,haltestelle,Haltestelle,die,остановка,Haltestellen,Wo ist die Haltestelle?,Где находится остановка?
de:hand:_:genus,hand,Hand,die,рука,Hände,,
de:handy:_:genus,handy,Handy,das,мобильник,Handys,Wo ist mein Handy?,Где мой мобильный?
de:hausaufgabe:_:genus,hausaufgabe,Hausaufgabe,die,домашнее задание,Hausaufgaben,,
de:hausfrau:_:genus,hausfrau,Hausfrau,die,домохозяйка,Hausfrauen,Eine Hausfrau sollte sparsam sein.,Хозяйке следует быть экономной.
de:herd:_:genus,herd,Herd,der,плита,Herde,Der Topf steht auf dem Herd.,Кастрюля стоит на плите.
de:herr:_:genus,herr,Herr,der,господин,Herren,Herr Jung ist alt.,Г-н Молодой стар.
de:hilfe:_:genus,hilfe,Hilfe,die,помощь,Hilfen,Ich brauche keine Hilfe.,Мне не нужна помощь.
de:hobby:_:genus,hobby,Hobby,das,хобби,Hobbys,Was ist dein Hobby?,Какое у тебя хобби?
de:hochzeit:_:genus,hochzeit,Hochzeit,die,свадьба,Hochzeiten,Wie war die Hochzeit?,Как прошла свадьба?
de:hotel:_:genus,hotel,Hotel,das,гостиница,Hotels,Wo ist das Hotel?,Где отель?
de:hunger:_:genus,hunger,Hunger,der,голод,,Ich hab auch Hunger.,Я тоже есть хочу.
de:information:_:genus,information,Information,die,информация,Informationen,Danke für die Information.,Спасибо за информацию!
de:internet:_:genus,internet,Internet,das,Интернет,,Wem gehört das Internet?,Кому принадлежит Интернет?
de:jacke:_:genus,jacke,Jacke,die,куртка,Jacken,Ich ziehe die Jacke an.,Я надеваю куртку.
de:job:_:genus,job,Job,der,работа,Jobs,Sie fand einen Job.,Она нашла работу.
de:jugendliche:_:genus,jugendliche,Jugendliche,die,подросток,Jugendliche,Ich höre noch immer die gleiche Musik wie schon als Jugendliche.,"Я до сих пор слушаю ту же музыку, которую слушала подростком."
de:kaffee:_:genus,kaffee,Kaffee,der,кофе,Kaffees,Der Kaffee ist bitter.,Кофе горький.
de:karte:_:genus,karte,Karte,die,карта,Karten,Hier ist die Karte!,Вот меню!
de:kartoffel:_:genus,kartoffel,Kartoffel,die,картофель,Kartoffeln,,
de:kasse:_:genus,kasse,Kasse,die,касса,Kassen,Die Kasse stimmt heute nicht.,Касса не сходится сегодня.
de:kind:_:genus,kind,Kind,das,ребёнок,Kinder,Wessen Kind ist das?,Чей это ребёнок?
de:kindergarten:_:genus,kindergarten,Kindergarten,der,детский сад,Kindergärten,Ich arbeite im Kindergarten.,Я работаю в детском саду.
de:kino:_:genus,kino,Kino,das,кинотеатр,Kinos,"Das ist das Kino, wo wir ausländische Filme sahen.","Это кинотеатр, где мы смотрели иностранные фильмы."
de:kiosk:_:genus,kiosk,Kiosk,der,киоск,Kioske,In diesem Kiosk da werden Blumen verkauft.,В этом киоске продаются цветы.
de:klasse:_:genus,klasse,Klasse,die,класс,Klassen,Das ist die Klasse.,Это класс.
de:kleidung:_:genus,kleidung,Kleidung,die,одежда,Kleidungen,Ich habe keine Kleidung an.,Я без одежды.
de:koffer:_:genus,koffer,Koffer,der,чемодан,Koffer,Wo ist dein Koffer?,Где твой чемодан?
de:kollege:_:genus,kollege,Kollege,der,сослуживец,Kollegen,Er war mein Kollege.,Он был моим коллегой.
de:konto:_:genus,konto,Konto,das,счёт,Konten,Sein Konto wurde gesperrt.,Его счёт арестовали.
de:kopf:_:genus,kopf,Kopf,der,голова,Köpfe,Er steht auf dem Kopf.,Он стоит на голове.
de:kuchen:_:genus,kuchen,Kuchen,der,торт,Kuchen,Was kostet der Kuchen?,Сколько стоит торт?
de:kueche:_:genus,kueche,Küche,die,кухня,Küchen,Wo ist die Küche?,Где кухня?
de:kuehlschrank:_:genus,kuehlschrank,Kühlschrank,der,холодильник,Kühlschränke,Der Kühlschrank ist zu.,Холодильник закрыт.
de:kugelschreiber:_:genus,kugelschreiber,Kugelschreiber,der,шариковая ручка,Kugelschreiber,Das ist ein Kugelschreiber.,Это шариковая ручка.
de:kunde:_:genus,kunde,Kunde,der,клиент,Kunden,Ich bin ein Kunde.,Я клиент.
de:kurs:_:genus,kurs,Kurs,der,курс,Kurse,Für wen wurde der Kurs ausgearbeitet?,Для кого разработан курс?
de:laden:_:genus,laden,Laden,der,магазин,Läden,Ist der Laden geöffnet?,Магазин открыт?
de:land:_:genus,land,Land,das,страна,Länder,Das Land ist klein.,Страна маленькая.
de:leben-noun:_:genus,leben-noun,Leben,das,жизнь,Leben,Das Leben ist so.,Такова жизнь.
de:lehrer:_:genus,lehrer,Lehrer,der,учитель,Lehrer,Sie sind keine Lehrer.,Они не учителя.
de:licht:_:genus,licht,Licht,das,свет,Lichter,Das Licht ist aus.,Свет погашен.
de:lied:_:genus,lied,Lied,das,песня,Lieder,Das ist ein Lied.,Это песня.
de:mann:_:genus,mann,Mann,der,мужчина,Männer,Ich bin ein Mann.,Я человек.
de:maschine:_:genus,maschine,Maschine,die,машина,Maschinen,Die Maschine ist kaputt.,Машина сломалась.
de:meer:_:genus,meer,Meer,das,море,Meere,Ich liebe das Meer.,Я люблю море.
de:mensch:_:genus,mensch,Mensch,der,человек,Menschen,Das ist ein Mensch.,Это человек.
de:miete:_:genus,miete,Miete,die,квартплата,Mieten,Ich muss die Miete zahlen.,Мне нужно заплатить за аренду.
de:milch:_:genus,milch,Milch,die,молоко,Milchen,Ich trinke keine Milch.,Я не пью молоко.
de:moebel:_:genus,moebel,Möbel,das,мебель,Möbel,Er bestellte neue Möbel.,Он заказал новую мебель.
de:moment:_:genus,moment,Moment,der,момент,Momente,Bitte warte einen Moment.,"Подожди, пожалуйста, минутку."
de:mund:_:genus,mund,Mund,der,рот,Münder,Mach den Mund auf!,Рот открой!
de:mutter:_:genus,mutter,Mutter,die,мать,Mütter,Hat sie eine Mutter?,У неё есть мать?
de:name:_:genus,name,Name,der,имя,Namen,Was ist dein Name?,Как твое имя?
de:nummer:_:genus,nummer,Nummer,die,номер,Nummern,Tom hat meine Nummer,
de:obst:_:genus,obst,Obst,das,фрукты,,Ich möchte kein Obst.,Я не хочу никаких фруктов.
de:oel:_:genus,oel,Öl,das,растительное масло,Öle,Öl schwimmt auf Wasser.,Масло плавает на поверхности воды.
de:oma:_:genus,oma,Oma,die,бабушка,Omas,Gestern haben wir Oma besucht.,Мы вчера у бабушки были.
de:opa:_:genus,opa,Opa,der,дедушка,Opas,Wo lebt dein Opa?,Где живёт твой дедушка?
de:ordnung:_:genus,ordnung,Ordnung,die,порядок,Ordnungen,Ist das in Ordnung?,Так нормально?
de:ort:_:genus,ort,Ort,der,место,Orte,Ich war an einem anderen Ort.,Я был в другом месте.
de:papier:_:genus,papier,Papier,das,бумага,Papiere,Das Papier ist weiß.,Эта бумага белая.
de:party:_:genus,party,Party,die,вечеринка,Partys,Das ist eine Party.,Это вечеринка.
de:pass:_:genus,pass,Pass,der,паспорт,Pässe,Pass auf dich auf!,Береги себя!
de:pause:_:genus,pause,Pause,die,перерыв,Pausen,Machen wir eine Pause!,Давай сделаем перерыв!
de:plan:_:genus,plan,Plan,der,план,Pläne,Es fehlt ein Plan.,Не хватает плана.
de:platz:_:genus,platz,Platz,der,место,Plätze,Sein Platz ist hier.,Его место здесь.
de:polizei:_:genus,polizei,Polizei,die,полиция,Polizeien,Das ist die Polizei!,Это полиция!
de:pommes:_:genus,pommes,Pommes,die,картошка фри,Pommes,Jeder mag Pommes-Chips.,Все любят картофельные чипсы.
de:post:_:genus,post,Post,die,почта,Posts,Wo ist die Post?,Где почта?
de:postleitzahl:_:genus,postleitzahl,Postleitzahl,die,почтовый индекс,Postleitzahlen,"Aarhus, Dänemarks zweitgrößte Stadt, hat die Postleitzahl 8000.","Орхус, второй по величине город Дании, имеет почтовый индекс 8000."
de:praktikum:_:genus,praktikum,Praktikum,das,практика,Praktika,Wie läuft das Praktikum?,Как проходит стажировка?
de:praxis:_:genus,praxis,Praxis,die,клиника,Praxen,Er setzte seine Ideen in die Praxis um.,Он претворил свои идеи на практике.
de:preis:_:genus,preis,Preis,der,цена,Preise,Der Preis ist gut.,Цена хорошая.
de:problem:_:genus,problem,Problem,das,проблема,Probleme,Das war ein Problem.,Это была проблема.
de:pruefung:_:genus,pruefung,Prüfung,die,экзамен,Prüfungen,Wie lief die Prüfung?,Как экзамен прошёл?
de:rad:_:genus,rad,Rad,das,колесо,Räder,Wo ist mein Rad?,Где мой велосипед?
de:raum:_:genus,raum,Raum,der,пространство,Räume,Der Raum ist zu klein.,Комната слишком маленькая.
de:rechnung:_:genus,rechnung,Rechnung,die,чек,Rechnungen,Bringen Sie bitte die Rechnung.,"Принесите, пожалуйста, счёт."
de:regen:_:genus,regen,Regen,der,дождь,Regen,Hat der Regen aufgehört?,Дождь перестал?
de:reis:_:genus,reis,Reis,der,рис,Reise,,
de:reise:_:genus,reise,Reise,die,поездка,Reisen,Ich reise morgen ab.,Я завтра уезжаю.
de:reisebuero:_:genus,reisebuero,Reisebüro,das,турагентство,Reisebüros,Kennst du dieses Reisebüro?,Ты знаешь это турагентство?
de:reisefuehrer:_:genus,reisefuehrer,Reiseführer,der,путеводитель,Reiseführer,Verlassen Sie sich nicht zu sehr auf Ihren Reiseführer.,Не слишком полагайтесь на свой путеводитель.
de:reparatur:_:genus,reparatur,Reparatur,die,починка,Reparaturen,Wie teuer ist die Reparatur?,Сколько будет стоить ремонт?
de:restaurant:_:genus,restaurant,Restaurant,das,ресторан,Restaurants,Wo ist das Restaurant?,Где ресторан?
de:rezeption:_:genus,rezeption,Rezeption,die,приемная,Rezeptionen,Wir haben den Schlüssel zurück zur Rezeption gebracht.,Мы вернули ключ на ресепшн.
de:saft:_:genus,saft,Saft,der,сок,Säfte,Haben sie Saft gekauft?,Они купили сок?
de:salat:_:genus,salat,Salat,der,салат,Salate,Ich mag Salat nicht.,Я не люблю салат.
de:salz:_:genus,salz,Salz,das,соль,Salze,Das ist kein Salz.,Это не соль.
de:satz:_:genus,satz,Satz,der,предложение,Sätze,Das war mein Satz!,Это я должен был сказать!
de:schalter:_:genus,schalter,Schalter,der,окно №,Schalter,Der Schalter ist links.,Выключатель слева.
de:schild:_:genus,schild,Schild,das,значок,Schilder,Ich brauche einen Schild.,Мне нужен щит.
de:schinken:_:genus,schinken,Schinken,der,ветчина,Schinken,Er mag Schinken und Eier.,Он любит ветчину и яйца.
de:schrank:_:genus,schrank,Schrank,der,шкаф,Schränke,Sieh im Schrank nach!,Поищи в шкафу.
de:schueler:_:genus,schueler,Schüler,der,ученик,Schüler,Er ist kein Schüler.,Он не школьник.
de:schuh:_:genus,schuh,Schuh,der,ботинок,Schuhe,,
de:schule:_:genus,schule,Schule,die,школа,Schulen,Wo ist die Schule?,Где школа?
de:schwester:_:genus,schwester,Schwester,die,сестра,Schwestern,Er hat keine Schwester.,У него нет сестры.
de:schwimmbad:_:genus,schwimmbad,Schwimmbad,das,бассейн,Schwimmbäder,In diesem Motel gibt es ein Schwimmbad.,В этом мотеле есть бассейн.
de:see:_:genus,see,See,der,озеро,Seen,Der See ist groß.,Озеро большое.
de:sehenswuerdigkeit:_:genus,sehenswuerdigkeit,Sehenswürdigkeit,die,достопримечательность,Sehenswürdigkeiten,,
de:sofa:_:genus,sofa,Sofa,das,диван,Sofas,Das ist mein Sofa.,Это мой диван.
de:sohn:_:genus,sohn,Sohn,der,сын,Söhne,Er ist dein Sohn.,Он твой сын.
de:sonne:_:genus,sonne,Sonne,die,Солнце,Sonnen,Das ist die Sonne.,Это солнце.
de:speisekarte:_:genus,speisekarte,Speisekarte,die,меню,Speisekarten,Darf ich die Speisekarte sehen?,Можно посмотреть меню?
de:sport:_:genus,sport,Sport,der,спорт,,Ich mag Sport nicht.,Я не люблю спорт.
de:sprache:_:genus,sprache,Sprache,die,язык,Sprachen,,
